{'image': [[88, 90, 91, 93, 92, 90, 90, 94], [90, 92, 92, 90, 92, 91, 91, 92], [89, 89, 92, 91, 90, 91, 92, 93], [88, 89, 89, 88, 90, 91, 92, 94], [87, 91, 89, 88, 91, 89, 90, 92], [88, 87, 86, 88, 90, 89, 89, 90], [85, 86, 87, 86, 90, 86, 89, 86], [85, 84, 83, 83, 85, 85, 86, 89]], 'bbox': [], 'category_id': [], 'timestamp': 1628035774682, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 90, 89, 92, 92, 92, 91, 93], [88, 90, 90, 92, 92, 91, 91, 93], [90, 89, 88, 90, 90, 91, 91, 92], [91, 86, 89, 89, 90, 91, 93, 91], [90, 89, 90, 90, 88, 88, 89, 91], [88, 88, 87, 88, 90, 91, 90, 90], [87, 83, 85, 86, 89, 87, 92, 89], [84, 81, 84, 83, 87, 85, 83, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035774885, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 90, 89, 92, 93, 91, 94], [90, 90, 91, 91, 90, 92, 90, 92], [88, 89, 91, 91, 90, 91, 92, 94], [89, 87, 88, 88, 90, 91, 92, 92], [85, 88, 89, 91, 89, 88, 91, 91], [88, 86, 87, 86, 90, 89, 88, 89], [85, 86, 86, 87, 89, 88, 88, 90], [83, 83, 85, 83, 85, 84, 85, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035775088, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 90, 92, 91, 91, 93, 90, 96], [89, 88, 90, 92, 92, 91, 90, 94], [89, 87, 88, 90, 89, 91, 90, 93], [91, 87, 89, 90, 91, 91, 92, 92], [89, 88, 89, 90, 89, 90, 90, 91], [88, 85, 87, 89, 91, 90, 89, 88], [88, 85, 85, 88, 87, 88, 90, 87], [84, 84, 85, 80, 85, 86, 86, 88]], 'bbox': [], 'category_id': [], 'timestamp': 1628035775284, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 91, 90, 93, 89, 92, 91, 94], [90, 92, 91, 92, 91, 90, 92, 93], [89, 89, 92, 91, 90, 92, 92, 92], [91, 89, 90, 89, 90, 90, 90, 90], [90, 88, 90, 90, 90, 91, 89, 91], [88, 86, 88, 89, 89, 88, 89, 92], [88, 86, 87, 88, 89, 88, 90, 87], [84, 84, 84, 84, 85, 86, 85, 87]], 'bbox': [], 'category_id': [], 'timestamp': 1628035776285, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 90, 90, 92, 91, 94, 92, 92], [89, 87, 92, 92, 92, 92, 92, 94], [88, 89, 90, 89, 90, 90, 92, 93], [91, 89, 88, 90, 91, 91, 92, 92], [86, 87, 90, 90, 90, 90, 90, 90], [89, 87, 86, 89, 89, 90, 90, 89], [85, 86, 88, 87, 90, 89, 89, 88], [86, 85, 84, 85, 87, 86, 85, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035776488, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 91, 91, 91, 91, 92, 91, 92], [92, 91, 92, 91, 92, 90, 91, 91], [88, 87, 88, 90, 91, 91, 90, 93], [88, 88, 90, 88, 90, 92, 90, 91], [88, 91, 90, 89, 90, 88, 91, 90], [89, 88, 88, 88, 91, 89, 88, 90], [85, 85, 86, 88, 90, 87, 89, 88], [83, 83, 85, 85, 86, 87, 86, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035776683, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 89, 92, 92, 91, 92, 92, 92], [90, 90, 90, 91, 91, 92, 92, 92], [87, 90, 90, 91, 90, 91, 90, 94], [90, 87, 88, 87, 92, 91, 91, 91], [91, 88, 89, 90, 90, 89, 91, 88], [86, 86, 87, 87, 89, 90, 89, 91], [86, 86, 87, 88, 91, 89, 89, 85], [84, 83, 84, 84, 85, 86, 82, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035776886, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 90, 92, 92, 92, 92, 94], [89, 89, 91, 91, 91, 90, 92, 89], [88, 90, 89, 89, 89, 90, 91, 93], [89, 85, 89, 88, 91, 91, 91, 91], [87, 86, 89, 90, 89, 88, 89, 91], [87, 87, 88, 88, 89, 90, 90, 89], [87, 87, 85, 88, 88, 86, 87, 88], [82, 83, 86, 82, 85, 85, 85, 83]], 'bbox': [], 'category_id': [], 'timestamp': 1628035777089, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 90, 90, 91, 91, 92, 92, 95], [89, 91, 91, 92, 91, 91, 90, 92], [88, 87, 90, 91, 91, 90, 92, 94], [91, 88, 90, 90, 90, 90, 90, 92], [88, 89, 90, 89, 89, 88, 90, 89], [87, 87, 87, 89, 88, 89, 89, 88], [86, 87, 87, 87, 89, 90, 90, 86], [83, 82, 83, 84, 85, 85, 86, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035777285, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[87, 88, 91, 91, 90, 90, 91, 94], [89, 91, 89, 91, 92, 91, 93, 92], [88, 88, 90, 91, 90, 90, 90, 92], [88, 88, 88, 89, 89, 90, 90, 93], [85, 88, 89, 90, 89, 90, 90, 90], [90, 84, 87, 89, 89, 89, 90, 89], [86, 84, 86, 87, 89, 86, 89, 89], [83, 84, 83, 82, 85, 86, 84, 86]], 'bbox': [], 'category_id': [], 'timestamp': 1628035777488, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[91, 88, 90, 91, 92, 92, 92, 91], [90, 89, 92, 90, 91, 91, 91, 93], [88, 89, 91, 88, 91, 91, 90, 92], [89, 87, 89, 89, 90, 91, 92, 93], [89, 88, 89, 89, 89, 89, 90, 89], [88, 87, 85, 89, 89, 88, 90, 91], [87, 87, 87, 88, 88, 88, 88, 89], [84, 83, 85, 83, 85, 84, 86, 88]], 'bbox': [], 'category_id': [], 'timestamp': 1628035777684, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[92, 90, 92, 92, 92, 91, 93, 94], [90, 90, 90, 91, 90, 91, 92, 93], [91, 89, 92, 91, 90, 91, 91, 92], [89, 88, 87, 89, 91, 91, 91, 92], [89, 87, 89, 88, 87, 89, 88, 90], [88, 87, 88, 88, 91, 90, 90, 91], [86, 87, 85, 86, 89, 88, 88, 89], [87, 84, 84, 83, 85, 86, 85, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035777887, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 89, 89, 90, 90, 90, 91, 94], [89, 90, 92, 90, 90, 92, 91, 92], [90, 90, 91, 90, 88, 92, 92, 93], [89, 88, 88, 89, 91, 90, 90, 92], [88, 89, 90, 88, 89, 88, 90, 90], [89, 86, 87, 87, 88, 89, 91, 89], [87, 85, 87, 88, 89, 87, 90, 87], [82, 85, 85, 83, 84, 85, 85, 84]], 'bbox': [], 'category_id': [], 'timestamp': 1628035778083, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 91, 91, 92, 92, 93, 92, 94], [89, 89, 92, 91, 90, 91, 92, 94], [87, 88, 89, 90, 89, 91, 92, 93], [90, 88, 88, 90, 91, 91, 92, 91], [88, 89, 89, 89, 91, 89, 89, 88], [89, 86, 87, 90, 89, 91, 89, 90], [86, 88, 87, 88, 89, 85, 89, 88], [84, 84, 86, 83, 83, 84, 85, 84]], 'bbox': [], 'category_id': [], 'timestamp': 1628035778286, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[88, 90, 92, 90, 92, 92, 90, 95], [90, 90, 91, 92, 90, 93, 92, 91], [88, 90, 90, 91, 89, 90, 92, 95], [88, 86, 88, 88, 90, 90, 90, 93], [89, 91, 91, 89, 90, 89, 90, 89], [89, 87, 85, 89, 90, 89, 88, 90], [86, 87, 86, 88, 90, 88, 89, 89], [81, 85, 84, 82, 86, 86, 86, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035778489, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[89, 90, 92, 92, 91, 93, 91, 94], [90, 89, 90, 91, 92, 90, 91, 92], [87, 90, 90, 90, 91, 91, 91, 92], [91, 88, 88, 89, 90, 90, 91, 91], [88, 88, 88, 90, 89, 89, 90, 91], [90, 87, 87, 88, 90, 91, 90, 91], [84, 86, 85, 88, 88, 88, 89, 89], [85, 85, 83, 83, 85, 86, 84, 85]], 'bbox': [], 'category_id': [], 'timestamp': 1628035778684, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
{'image': [[90, 90, 92, 92, 92, 90, 91, 94], [91, 90, 92, 90, 92, 93, 93, 92], [87, 91, 91, 91, 91, 90, 91, 93], [89, 87, 89, 89, 89, 90, 91, 94], [87, 89, 88, 89, 90, 89, 91, 90], [86, 87, 88, 87, 90, 90, 91, 89], [85, 87, 86, 86, 90, 88, 90, 88], [82, 85, 85, 84, 83, 86, 85, 88]], 'bbox': [], 'category_id': [], 'timestamp': 1628035778887, 'mac_address': '00-17-0d-00-00-70-b9-e3', 'normalized': 'false'}
